t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,0,0,0,0.92,0
24,0,0,0,0.96,0
25,0,0,0,1.0,0
26,0,0,0,1.04,0
27,0,0,0,1.08,0
28,0,0,0,1.12,0
29,1,1,1,1.12,1
30,0,0,0,1.16,1
31,0,0,0,1.2,1
32,0,0,0,1.24,1
33,0,0,0,1.28,1
34,0,0,0,1.32,1
35,1,1,2,1.28,2
36,2,2,2,1.24,4
37,0,0,0,1.28,4
38,0,0,0,1.32,4
39,0,0,0,1.36,4
40,0,0,0,1.4,4
41,1,1,2,1.36,5
42,0,0,0,1.4,5
43,0,0,0,1.44,5
44,0,0,0,1.48,5
45,0,0,0,1.52,5
46,0,0,0,1.56,5
47,0,0,0,1.6,5
48,0,0,0,1.64,5
49,0,0,0,1.68,5
50,0,0,0,1.72,5
51,3,3,1,1.72,8
52,0,0,0,1.76,8
53,0,0,0,1.8,8
54,0,0,0,1.84,8
55,0,0,0,1.88,8
56,1,1,1,1.88,9
57,0,0,0,1.92,9
58,0,0,0,1.96,9
59,4,4,2,1.92,13
60,0,0,0,1.96,13
61,0,0,0,2.0,13
62,14,13,7,1.76,27
63,0,0,0,1.8,27
64,0,0,0,1.84,27
65,0,0,0,1.88,27
66,0,0,0,1.92,27
67,2,2,2,1.88,29
68,0,0,0,1.92,29
69,4,4,3,1.84,33
70,0,0,0,1.88,33
71,1,1,2,1.84,34
72,0,0,0,1.88,34
73,3,3,0,1.92,37
74,0,0,0,1.96,37
75,9,9,7,1.72,46
76,3,3,2,1.68,49
77,0,0,0,1.72,49
78,0,0,0,1.76,49
79,4,4,1,1.76,53
80,0,0,0,1.8,53
81,3,3,0,1.84,56
82,0,0,0,1.88,56
83,5,5,3,1.8,61
84,0,0,0,1.84,61
85,0,0,0,1.88,61
86,0,0,0,1.92,61
87,0,0,0,1.96,61
88,0,0,0,2.0,61
89,0,0,0,2.04,61
90,2,2,2,2.0,63
91,0,0,0,2.04,63
92,0,0,0,2.08,63
93,0,0,0,2.12,63
94,0,0,0,2.16,63
95,10,10,7,1.92,73
96,0,0,0,1.96,73
97,3,3,2,1.92,76
98,0,0,0,1.96,76
99,0,0,0,2.0,76
100,0,0,0,2.04,76
0,0,0,0,0.0,0
