t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,1,1,0,0.92,1
24,0,0,0,0.96,1
25,0,0,0,1.0,1
26,1,1,2,0.96,2
27,0,0,0,1.0,2
28,0,0,0,1.04,2
29,0,0,0,1.08,2
30,0,0,0,1.12,2
31,0,0,0,1.16,2
32,0,0,0,1.2,2
33,0,0,0,1.24,2
34,0,0,0,1.28,2
35,0,0,0,1.32,2
36,0,0,0,1.36,2
37,0,0,0,1.4,2
38,0,0,0,1.44,2
39,0,0,0,1.48,2
40,0,0,0,1.52,2
41,0,0,0,1.56,2
42,1,1,0,1.6,3
43,0,0,0,1.64,3
44,0,0,0,1.68,3
45,0,0,0,1.72,3
46,4,4,2,1.68,7
47,0,0,0,1.72,7
48,0,0,0,1.76,7
49,0,0,0,1.8,7
50,0,0,0,1.84,7
51,0,0,0,1.88,7
52,0,0,0,1.92,7
53,0,0,0,1.96,7
54,10,10,4,1.84,17
55,1,1,0,1.88,18
56,3,3,2,1.84,21
57,0,0,0,1.88,21
58,0,0,0,1.92,21
59,0,0,0,1.96,21
60,4,4,0,2.0,25
61,2,2,3,1.92,27
62,0,0,0,1.96,27
63,0,0,0,2.0,27
64,0,0,0,2.04,27
65,0,0,0,2.08,27
66,0,0,0,2.12,27
67,0,0,0,2.16,27
68,7,7,6,1.96,34
69,4,4,1,1.96,38
70,4,4,5,1.8,42
71,0,0,0,1.84,42
72,0,0,0,1.88,42
73,2,2,3,1.8,44
74,8,8,2,1.76,52
75,0,0,0,1.8,52
76,1,1,0,1.84,53
77,0,0,0,1.88,53
78,0,0,0,1.92,53
79,0,0,0,1.96,53
80,1,1,1,1.96,54
81,2,2,1,1.96,56
82,0,0,0,2.0,56
83,9,9,4,1.88,65
84,0,0,0,1.92,65
85,0,0,0,1.96,65
86,4,4,4,1.84,69
87,2,2,0,1.88,71
88,0,0,0,1.92,71
89,0,0,0,1.96,71
90,1,1,1,1.96,72
91,5,5,3,1.88,77
92,0,0,0,1.92,77
93,0,0,0,1.96,77
94,2,2,3,1.88,79
95,0,0,0,1.92,79
96,0,0,0,1.96,79
97,2,2,2,1.92,81
98,0,0,0,1.96,81
99,0,0,0,2.0,81
100,0,0,0,2.04,81
0,0,0,0,0.0,0
