t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,0,0,0,0.92,0
24,0,0,0,0.96,0
25,0,0,0,1.0,0
26,0,0,0,1.04,0
27,0,0,0,1.08,0
28,0,0,0,1.12,0
29,0,0,0,1.16,0
30,0,0,0,1.2,0
31,0,0,0,1.24,0
32,0,0,0,1.28,0
33,0,0,0,1.32,0
34,0,0,0,1.36,0
35,0,0,0,1.4,0
36,0,0,0,1.44,0
37,0,0,0,1.48,0
38,0,0,0,1.52,0
39,1,1,1,1.52,1
40,0,0,0,1.56,1
41,0,0,0,1.6,1
42,1,1,2,1.56,2
43,3,3,2,1.52,5
44,0,0,0,1.56,5
45,0,0,0,1.6,5
46,0,0,0,1.64,5
47,0,0,0,1.68,5
48,1,1,0,1.72,6
49,0,0,0,1.76,6
50,7,7,6,1.56,13
51,0,0,0,1.6,13
52,4,4,0,1.64,17
53,1,1,0,1.68,18
54,0,0,0,1.72,18
55,0,0,0,1.76,18
56,0,0,0,1.8,18
57,0,0,0,1.84,18
58,0,0,0,1.88,18
59,8,8,5,1.72,26
60,2,2,1,1.72,28
61,0,0,0,1.76,28
62,0,0,0,1.8,28
63,0,0,0,1.84,28
64,0,0,0,1.88,28
65,0,0,0,1.92,28
66,2,2,2,1.88,30
67,2,2,0,1.92,32
68,0,0,0,1.96,32
69,0,0,0,2.0,32
70,0,0,0,2.04,32
71,0,0,0,2.08,32
72,0,0,0,2.12,32
73,0,0,0,2.16,32
74,0,0,0,2.2,32
75,0,0,0,2.24,32
76,0,0,0,2.28,32
77,1,1,1,2.28,33
78,0,0,0,2.32,33
79,25,22,16,1.72,58
80,0,0,0,1.76,58
81,3,3,0,1.8,61
82,0,0,0,1.84,61
83,0,0,0,1.88,61
84,0,0,0,1.92,61
85,5,5,3,1.84,66
86,3,3,1,1.84,69
87,0,0,0,1.88,69
88,1,1,0,1.92,70
89,0,0,0,1.96,70
90,0,0,0,2.0,70
91,2,2,3,1.92,72
92,0,0,0,1.96,72
93,1,1,0,2.0,73
94,0,0,0,2.04,73
95,0,0,0,2.08,73
96,4,4,2,2.04,77
97,5,5,3,1.96,82
98,0,0,0,2.0,82
99,6,6,5,1.84,88
100,1,1,1,1.84,89
0,0,0,0,0.0,0
