t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,0,0,0,0.92,0
24,0,0,0,0.96,0
25,0,0,0,1.0,0
26,0,0,0,1.04,0
27,0,0,0,1.08,0
28,0,0,0,1.12,0
29,0,0,0,1.16,0
30,0,0,0,1.2,0
31,0,0,0,1.24,0
32,0,0,0,1.28,0
33,0,0,0,1.32,0
34,0,0,0,1.36,0
35,0,0,0,1.4,0
36,0,0,0,1.44,0
37,0,0,0,1.48,0
38,0,0,0,1.52,0
39,0,0,0,1.56,0
40,0,0,0,1.6,0
41,0,0,0,1.64,0
42,0,0,0,1.68,0
43,0,0,0,1.72,0
44,0,0,0,1.76,0
45,0,0,0,1.8,0
46,0,0,0,1.84,0
47,0,0,0,1.88,0
48,0,0,0,1.92,0
49,4,4,4,1.8,4
50,0,0,0,1.84,4
51,0,0,0,1.88,4
52,0,0,0,1.92,4
53,0,0,0,1.96,4
54,0,0,0,2.0,4
55,1,1,0,2.04,5
56,0,0,0,2.08,5
57,9,9,6,1.88,14
58,0,0,0,1.92,14
59,0,0,0,1.96,14
60,5,5,5,1.8,19
61,0,0,0,1.84,19
62,0,0,0,1.88,19
63,2,2,0,1.92,21
64,10,10,3,1.84,31
65,0,0,0,1.88,31
66,0,0,0,1.92,31
67,0,0,0,1.96,31
68,0,0,0,2.0,31
69,0,0,0,2.04,31
70,1,1,0,2.08,32
71,0,0,0,2.12,32
72,0,0,0,2.16,32
73,1,1,0,2.2,33
74,2,2,3,2.12,35
75,12,11,7,1.88,47
76,0,0,0,1.92,47
77,1,1,0,1.96,48
78,0,0,0,2.0,48
79,2,2,3,1.92,50
80,12,12,7,1.68,62
81,0,0,0,1.72,62
82,0,0,0,1.76,62
83,2,2,1,1.76,64
84,0,0,0,1.8,64
85,2,2,1,1.8,66
86,0,0,0,1.84,66
87,0,0,0,1.88,66
88,2,2,2,1.84,68
89,1,1,0,1.88,69
90,0,0,0,1.92,69
91,2,2,2,1.88,71
92,0,0,0,1.92,71
93,1,1,2,1.88,72
94,0,0,0,1.92,72
95,0,0,0,1.96,72
96,0,0,0,2.0,72
97,0,0,0,2.04,72
98,13,13,8,1.76,85
99,0,0,0,1.8,85
100,0,0,0,1.84,85
0,0,0,0,0.0,0
