t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,0,0,0,0.92,0
24,0,0,0,0.96,0
25,0,0,0,1.0,0
26,0,0,0,1.04,0
27,0,0,0,1.08,0
28,0,0,0,1.12,0
29,0,0,0,1.16,0
30,0,0,0,1.2,0
31,1,1,1,1.2,1
32,0,0,0,1.24,1
33,0,0,0,1.28,1
34,1,1,1,1.28,2
35,0,0,0,1.32,2
36,0,0,0,1.36,2
37,0,0,0,1.4,2
38,0,0,0,1.44,2
39,0,0,0,1.48,2
40,0,0,0,1.52,2
41,0,0,0,1.56,2
42,0,0,0,1.6,2
43,0,0,0,1.64,2
44,0,0,0,1.68,2
45,5,5,2,1.64,7
46,1,1,2,1.6,8
47,0,0,0,1.64,8
48,1,1,0,1.68,9
49,0,0,0,1.72,9
50,0,0,0,1.76,9
51,0,0,0,1.8,9
52,2,2,2,1.76,11
53,2,2,1,1.76,13
54,0,0,0,1.8,13
55,0,0,0,1.84,13
56,1,1,1,1.84,14
57,0,0,0,1.88,14
58,0,0,0,1.92,14
59,0,0,0,1.96,14
60,0,0,0,2.0,14
61,2,2,3,1.92,16
62,0,0,0,1.96,16
63,0,0,0,2.0,16
64,1,1,1,2.0,17
65,0,0,0,2.04,17
66,14,14,6,1.84,31
67,0,0,0,1.88,31
68,3,3,3,1.8,34
69,0,0,0,1.84,34
70,0,0,0,1.88,34
71,0,0,0,1.92,34
72,1,1,1,1.92,35
73,0,0,0,1.96,35
74,6,6,4,1.84,41
75,0,0,0,1.88,41
76,0,0,0,1.92,41
77,0,0,0,1.96,41
78,0,0,0,2.0,41
79,1,1,0,2.04,42
80,14,14,8,1.76,56
81,0,0,0,1.8,56
82,0,0,0,1.84,56
83,1,1,0,1.88,57
84,0,0,0,1.92,57
85,0,0,0,1.96,57
86,0,0,0,2.0,57
87,5,5,3,1.92,62
88,1,1,2,1.88,63
89,0,0,0,1.92,63
90,0,0,0,1.96,63
91,0,0,0,2.0,63
92,4,4,4,1.88,67
93,0,0,0,1.92,67
94,0,0,0,1.96,67
95,0,0,0,2.0,67
96,12,10,4,1.88,79
97,0,0,0,1.92,79
98,0,0,0,1.96,79
99,5,5,2,1.92,84
100,0,0,0,1.96,84
0,0,0,0,0.0,0
