t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.0025,0
2,0,0,0,0.005,0
3,0,0,0,0.0075,0
4,0,0,0,0.01,0
5,0,0,0,0.0125,0
6,0,0,0,0.015,0
7,0,0,0,0.0175,0
8,0,0,0,0.02,0
9,0,0,0,0.0225,0
10,0,0,0,0.025,0
11,0,0,0,0.0275,0
12,0,0,0,0.03,0
13,0,0,0,0.0325,0
14,0,0,0,0.035,0
15,0,0,0,0.0375,0
16,0,0,0,0.04,0
17,0,0,0,0.0425,0
18,0,0,0,0.045,0
19,0,0,0,0.0475,0
20,0,0,0,0.05,0
21,0,0,0,0.0525,0
22,0,0,0,0.055,0
23,0,0,0,0.0575,0
24,0,0,0,0.06,0
25,0,0,0,0.0625,0
26,0,0,0,0.065,0
27,0,0,0,0.0675,0
28,0,0,0,0.07,0
29,0,0,0,0.0725,0
30,0,0,0,0.075,0
31,0,0,0,0.0775,0
32,0,0,0,0.08,0
33,0,0,0,0.0825,0
34,0,0,0,0.085,0
35,0,0,0,0.0875,0
36,0,0,0,0.09,0
37,0,0,0,0.0925,0
38,0,0,0,0.095,0
39,0,0,0,0.0975,0
40,0,0,0,0.1,0
41,0,0,0,0.1025,0
42,0,0,0,0.105,0
43,0,0,0,0.1075,0
44,0,0,0,0.11,0
45,0,0,0,0.1125,0
46,0,0,0,0.115,0
47,0,0,0,0.1175,0
48,0,0,0,0.12,0
49,0,0,0,0.1225,0
50,0,0,0,0.125,0
51,0,0,0,0.1275,0
52,0,0,0,0.13,0
53,0,0,0,0.1325,0
54,0,0,0,0.135,0
55,0,0,0,0.1375,0
56,0,0,0,0.14,0
57,0,0,0,0.1425,0
58,0,0,0,0.145,0
59,0,0,0,0.1475,0
60,0,0,0,0.15,0
61,0,0,0,0.1525,0
62,0,0,0,0.155,0
63,0,0,0,0.1575,0
64,0,0,0,0.16,0
65,0,0,0,0.1625,0
66,0,0,0,0.165,0
67,0,0,0,0.1675,0
68,0,0,0,0.17,0
69,0,0,0,0.1725,0
70,0,0,0,0.175,0
71,0,0,0,0.1775,0
72,0,0,0,0.18,0
73,0,0,0,0.1825,0
74,0,0,0,0.185,0
75,0,0,0,0.1875,0
76,0,0,0,0.19,0
77,0,0,0,0.1925,0
78,0,0,0,0.195,0
79,0,0,0,0.1975,0
80,0,0,0,0.2,0
81,0,0,0,0.2025,0
82,0,0,0,0.205,0
83,0,0,0,0.2075,0
84,0,0,0,0.21,0
85,0,0,0,0.2125,0
86,0,0,0,0.215,0
87,0,0,0,0.2175,0
88,0,0,0,0.22,0
89,0,0,0,0.2225,0
90,0,0,0,0.225,0
91,0,0,0,0.2275,0
92,0,0,0,0.23,0
93,0,0,0,0.2325,0
94,0,0,0,0.235,0
95,0,0,0,0.2375,0
96,0,0,0,0.24,0
97,0,0,0,0.2425,0
98,0,0,0,0.245,0
99,0,0,0,0.2475,0
100,0,0,0,0.25,0
101,0,0,0,0.2525,0
102,0,0,0,0.255,0
103,0,0,0,0.2575,0
104,0,0,0,0.26,0
105,1,1,0,0.2625,1
106,0,0,0,0.265,1
107,0,0,0,0.2675,1
108,0,0,0,0.27,1
109,0,0,0,0.2725,1
110,0,0,0,0.275,1
111,0,0,0,0.2775,1
112,0,0,0,0.28,1
113,0,0,0,0.2825,1
114,0,0,0,0.285,1
115,0,0,0,0.2875,1
116,0,0,0,0.29,1
117,0,0,0,0.2925,1
118,0,0,0,0.295,1
119,0,0,0,0.2975,1
120,0,0,0,0.3,1
121,0,0,0,0.3025,1
122,0,0,0,0.305,1
123,0,0,0,0.3075,1
124,0,0,0,0.31,1
125,0,0,0,0.3125,1
126,0,0,0,0.315,1
127,0,0,0,0.3175,1
128,0,0,0,0.32,1
129,0,0,0,0.3225,1
130,0,0,0,0.325,1
131,0,0,0,0.3275,1
132,0,0,0,0.33,1
133,0,0,0,0.3325,1
134,0,0,0,0.335,1
135,0,0,0,0.3375,1
136,0,0,0,0.34,1
137,0,0,0,0.3425,1
138,0,0,0,0.345,1
139,0,0,0,0.3475,1
140,0,0,0,0.35,1
141,0,0,0,0.3525,1
142,0,0,0,0.355,1
143,0,0,0,0.3575,1
144,0,0,0,0.36,1
145,0,0,0,0.3625,1
146,0,0,0,0.365,1
147,0,0,0,0.3675,1
148,0,0,0,0.37,1
149,0,0,0,0.3725,1
150,0,0,0,0.375,1
151,0,0,0,0.3775,1
152,0,0,0,0.38,1
153,0,0,0,0.3825,1
154,0,0,0,0.385,1
155,0,0,0,0.3875,1
156,0,0,0,0.39,1
157,0,0,0,0.3925,1
158,0,0,0,0.395,1
159,0,0,0,0.3975,1
160,0,0,0,0.4,1
161,0,0,0,0.4025,1
162,0,0,0,0.405,1
163,0,0,0,0.4075,1
164,0,0,0,0.41,1
165,0,0,0,0.4125,1
166,0,0,0,0.415,1
167,0,0,0,0.4175,1
168,0,0,0,0.42,1
169,0,0,0,0.4225,1
170,0,0,0,0.425,1
171,0,0,0,0.4275,1
172,0,0,0,0.43,1
173,0,0,0,0.4325,1
174,0,0,0,0.435,1
175,0,0,0,0.4375,1
176,0,0,0,0.44,1
177,0,0,0,0.4425,1
178,0,0,0,0.445,1
179,0,0,0,0.4475,1
180,0,0,0,0.45,1
181,0,0,0,0.4525,1
182,0,0,0,0.455,1
183,0,0,0,0.4575,1
184,0,0,0,0.46,1
185,0,0,0,0.4625,1
186,0,0,0,0.465,1
187,0,0,0,0.4675,1
188,0,0,0,0.47,1
189,0,0,0,0.4725,1
190,0,0,0,0.475,1
191,0,0,0,0.4775,1
192,0,0,0,0.48,1
193,0,0,0,0.4825,1
194,0,0,0,0.485,1
195,0,0,0,0.4875,1
196,0,0,0,0.49,1
197,0,0,0,0.4925,1
198,0,0,0,0.495,1
199,0,0,0,0.4975,1
200,0,0,0,0.5,1
201,0,0,0,0.5025,1
202,0,0,0,0.505,1
203,0,0,0,0.5075,1
204,0,0,0,0.51,1
205,0,0,0,0.5125,1
206,0,0,0,0.515,1
207,0,0,0,0.5175,1
208,0,0,0,0.52,1
209,0,0,0,0.5225,1
210,0,0,0,0.525,1
211,0,0,0,0.5275,1
212,0,0,0,0.53,1
213,0,0,0,0.5325,1
214,0,0,0,0.535,1
215,0,0,0,0.5375,1
216,0,0,0,0.54,1
217,0,0,0,0.5425,1
218,0,0,0,0.545,1
219,0,0,0,0.5475,1
220,0,0,0,0.55,1
221,0,0,0,0.5525,1
222,0,0,0,0.555,1
223,0,0,0,0.5575,1
224,0,0,0,0.56,1
225,0,0,0,0.5625,1
226,0,0,0,0.565,1
227,0,0,0,0.5675,1
228,0,0,0,0.57,1
229,0,0,0,0.5725,1
230,0,0,0,0.575,1
231,0,0,0,0.5775,1
232,0,0,0,0.58,1
233,0,0,0,0.5825,1
234,0,0,0,0.585,1
235,0,0,0,0.5875,1
236,0,0,0,0.59,1
237,0,0,0,0.5925,1
238,0,0,0,0.595,1
239,0,0,0,0.5975,1
240,0,0,0,0.6,1
241,0,0,0,0.6025,1
242,0,0,0,0.605,1
243,0,0,0,0.6075,1
244,0,0,0,0.61,1
245,0,0,0,0.6125,1
246,0,0,0,0.615,1
247,0,0,0,0.6175,1
248,0,0,0,0.62,1
249,0,0,0,0.6225,1
250,0,0,0,0.625,1
251,0,0,0,0.6275,1
252,0,0,0,0.63,1
253,0,0,0,0.6325,1
254,0,0,0,0.635,1
255,0,0,0,0.6375,1
256,0,0,0,0.64,1
257,0,0,0,0.6425,1
258,0,0,0,0.645,1
259,0,0,0,0.6475,1
260,0,0,0,0.65,1
261,0,0,0,0.6525,1
262,0,0,0,0.655,1
263,0,0,0,0.6575,1
264,0,0,0,0.66,1
265,0,0,0,0.6625,1
266,0,0,0,0.665,1
267,0,0,0,0.6675,1
268,0,0,0,0.67,1
269,0,0,0,0.6725,1
270,0,0,0,0.675,1
271,0,0,0,0.6775,1
272,0,0,0,0.68,1
273,0,0,0,0.6825,1
274,0,0,0,0.685,1
275,0,0,0,0.6875,1
276,0,0,0,0.69,1
277,0,0,0,0.6925,1
278,0,0,0,0.695,1
279,0,0,0,0.6975,1
280,0,0,0,0.7,1
281,0,0,0,0.7025,1
282,0,0,0,0.705,1
283,0,0,0,0.7075,1
284,0,0,0,0.71,1
285,0,0,0,0.7125,1
286,1,1,1,0.7125,2
287,0,0,0,0.715,2
288,0,0,0,0.7175,2
289,0,0,0,0.72,2
290,0,0,0,0.7225,2
291,0,0,0,0.725,2
292,0,0,0,0.7275,2
293,0,0,0,0.73,2
294,0,0,0,0.7325,2
295,0,0,0,0.735,2
296,0,0,0,0.7375,2
297,0,0,0,0.74,2
298,0,0,0,0.7425,2
299,0,0,0,0.745,2
300,0,0,0,0.7475,2
301,0,0,0,0.75,2
302,0,0,0,0.7525,2
303,0,0,0,0.755,2
304,0,0,0,0.7575,2
305,0,0,0,0.76,2
306,0,0,0,0.7625,2
307,0,0,0,0.765,2
308,0,0,0,0.7675,2
309,0,0,0,0.77,2
310,0,0,0,0.7725,2
311,0,0,0,0.775,2
312,0,0,0,0.7775,2
313,1,1,0,0.78,3
314,0,0,0,0.7825,3
315,0,0,0,0.785,3
316,0,0,0,0.7875,3
317,0,0,0,0.79,3
318,0,0,0,0.7925,3
319,0,0,0,0.795,3
320,0,0,0,0.7975,3
321,0,0,0,0.8,3
322,1,1,0,0.8025,4
323,0,0,0,0.805,4
324,0,0,0,0.8075,4
325,0,0,0,0.81,4
326,0,0,0,0.8125,4
327,0,0,0,0.815,4
328,0,0,0,0.8175,4
329,0,0,0,0.82,4
330,0,0,0,0.8225,4
331,0,0,0,0.825,4
332,0,0,0,0.8275,4
333,0,0,0,0.83,4
334,0,0,0,0.8325,4
335,0,0,0,0.835,4
336,0,0,0,0.8375,4
337,0,0,0,0.84,4
338,0,0,0,0.8425,4
339,1,1,0,0.845,5
340,1,1,0,0.8475,6
341,0,0,0,0.85,6
342,0,0,0,0.8525,6
343,0,0,0,0.855,6
344,0,0,0,0.8575,6
345,0,0,0,0.86,6
346,0,0,0,0.8625,6
347,0,0,0,0.865,6
348,0,0,0,0.8675,6
349,0,0,0,0.87,6
350,0,0,0,0.8725,6
351,0,0,0,0.875,6
352,0,0,0,0.8775,6
353,0,0,0,0.88,6
354,0,0,0,0.8825,6
355,0,0,0,0.885,6
356,0,0,0,0.8875,6
357,0,0,0,0.89,6
358,0,0,0,0.8925,6
359,0,0,0,0.895,6
360,0,0,0,0.8975,6
361,0,0,0,0.9,6
362,0,0,0,0.9025,6
363,0,0,0,0.905,6
364,0,0,0,0.9075,6
365,0,0,0,0.91,6
366,0,0,0,0.9125,6
367,1,1,0,0.915,7
368,0,0,0,0.9175,7
369,0,0,0,0.92,7
370,0,0,0,0.9225,7
371,0,0,0,0.925,7
372,1,1,0,0.9275,8
373,0,0,0,0.93,8
374,0,0,0,0.9325,8
375,0,0,0,0.935,8
376,1,1,1,0.935,9
377,0,0,0,0.9375,9
378,0,0,0,0.94,9
379,0,0,0,0.9425,9
380,0,0,0,0.945,9
381,0,0,0,0.9475,9
382,0,0,0,0.95,9
383,0,0,0,0.9525,9
384,0,0,0,0.955,9
385,0,0,0,0.9575,9
386,0,0,0,0.96,9
387,0,0,0,0.9625,9
388,0,0,0,0.965,9
389,0,0,0,0.9675,9
390,0,0,0,0.97,9
391,0,0,0,0.9725,9
392,0,0,0,0.975,9
393,0,0,0,0.9775,9
394,0,0,0,0.98,9
395,0,0,0,0.9825,9
396,0,0,0,0.985,9
397,0,0,0,0.9875,9
398,0,0,0,0.99,9
399,0,0,0,0.9925,9
400,1,1,1,0.9925,10
401,0,0,0,0.995,10
402,0,0,0,0.9975,10
403,0,0,0,1.0,10
404,1,1,0,1.0025,11
405,1,1,0,1.005,12
406,0,0,0,1.0075,12
407,0,0,0,1.01,12
408,0,0,0,1.0125,12
409,7,7,0,1.015,19
