t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,1,1,2,0.76,1
22,0,0,0,0.8,1
23,0,0,0,0.84,1
24,0,0,0,0.88,1
25,0,0,0,0.92,1
26,0,0,0,0.96,1
27,0,0,0,1.0,1
28,0,0,0,1.04,1
29,0,0,0,1.08,1
30,1,1,0,1.12,2
31,0,0,0,1.16,2
32,0,0,0,1.2,2
33,0,0,0,1.24,2
34,0,0,0,1.28,2
35,0,0,0,1.32,2
36,0,0,0,1.36,2
37,0,0,0,1.4,2
38,1,1,0,1.44,3
39,0,0,0,1.48,3
40,0,0,0,1.52,3
41,0,0,0,1.56,3
42,0,0,0,1.6,3
43,0,0,0,1.64,3
44,0,0,0,1.68,3
45,0,0,0,1.72,3
46,0,0,0,1.76,3
47,1,1,2,1.72,4
48,0,0,0,1.76,4
49,0,0,0,1.8,4
50,0,0,0,1.84,4
51,0,0,0,1.88,4
52,0,0,0,1.92,4
53,0,0,0,1.96,4
54,2,2,1,1.96,6
55,0,0,0,2.0,6
56,0,0,0,2.04,6
57,10,10,7,1.8,16
58,2,2,1,1.8,18
59,0,0,0,1.84,18
60,0,0,0,1.88,18
61,2,2,1,1.88,20
62,0,0,0,1.92,20
63,0,0,0,1.96,20
64,0,0,0,2.0,20
65,0,0,0,2.04,20
66,0,0,0,2.08,20
67,8,8,6,1.88,28
68,0,0,0,1.92,28
69,0,0,0,1.96,28
70,0,0,0,2.0,28
71,7,7,4,1.88,35
72,2,2,2,1.84,37
73,0,0,0,1.88,37
74,4,4,2,1.84,41
75,0,0,0,1.88,41
76,0,0,0,1.92,41
77,0,0,0,1.96,41
78,1,1,0,2.0,42
79,0,0,0,2.04,42
80,0,0,0,2.08,42
81,16,14,7,1.84,58
82,0,0,0,1.88,58
83,0,0,0,1.92,58
84,0,0,0,1.96,58
85,1,1,1,1.96,59
86,0,0,0,2.0,59
87,5,5,4,1.88,64
88,0,0,0,1.92,64
89,0,0,0,1.96,64
90,0,0,0,2.0,64
91,0,0,0,2.04,64
92,0,0,0,2.08,64
93,0,0,0,2.12,64
94,1,1,0,2.16,65
95,0,0,0,2.2,65
96,0,0,0,2.24,65
97,0,0,0,2.28,65
98,5,5,6,2.08,70
99,0,0,0,2.12,70
100,20,16,8,1.84,90
0,0,0,0,0.0,0
