t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,0,0,0,0.84,0
22,0,0,0,0.88,0
23,0,0,0,0.92,0
24,0,0,0,0.96,0
25,0,0,0,1.0,0
26,0,0,0,1.04,0
27,0,0,0,1.08,0
28,0,0,0,1.12,0
29,0,0,0,1.16,0
30,0,0,0,1.2,0
31,0,0,0,1.24,0
32,0,0,0,1.28,0
33,0,0,0,1.32,0
34,0,0,0,1.36,0
35,0,0,0,1.4,0
36,0,0,0,1.44,0
37,0,0,0,1.48,0
38,0,0,0,1.52,0
39,0,0,0,1.56,0
40,0,0,0,1.6,0
41,0,0,0,1.64,0
42,0,0,0,1.68,0
43,0,0,0,1.72,0
44,0,0,0,1.76,0
45,3,3,1,1.76,3
46,0,0,0,1.8,3
47,0,0,0,1.84,3
48,2,2,0,1.88,5
49,0,0,0,1.92,5
50,1,1,1,1.92,6
51,0,0,0,1.96,6
52,0,0,0,2.0,6
53,0,0,0,2.04,6
54,1,1,1,2.04,7
55,0,0,0,2.08,7
56,7,7,6,1.88,14
57,1,1,2,1.84,15
58,0,0,0,1.88,15
59,3,3,2,1.84,18
60,2,2,3,1.76,20
61,0,0,0,1.8,20
62,0,0,0,1.84,20
63,2,2,2,1.8,22
64,1,1,0,1.84,23
65,0,0,0,1.88,23
66,0,0,0,1.92,23
67,10,10,3,1.84,33
68,0,0,0,1.88,33
69,1,1,1,1.88,34
70,0,0,0,1.92,34
71,0,0,0,1.96,34
72,0,0,0,2.0,34
73,0,0,0,2.04,34
74,0,0,0,2.08,34
75,0,0,0,2.12,34
76,0,0,0,2.16,34
77,0,0,0,2.2,34
78,0,0,0,2.24,34
79,21,21,14,1.72,55
80,0,0,0,1.76,55
81,1,1,0,1.8,56
82,0,0,0,1.84,56
83,1,1,1,1.84,57
84,6,6,1,1.84,63
85,0,0,0,1.88,63
86,0,0,0,1.92,63
87,0,0,0,1.96,63
88,2,2,2,1.92,65
89,0,0,0,1.96,65
90,0,0,0,2.0,65
91,0,0,0,2.04,65
92,0,0,0,2.08,65
93,0,0,0,2.12,65
94,0,0,0,2.16,65
95,0,0,0,2.2,65
96,0,0,0,2.24,65
97,16,16,8,1.96,81
98,0,0,0,2.0,81
99,5,5,0,2.04,86
100,4,4,4,1.92,90
0,0,0,0,0.0,0
