t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.04,0
2,0,0,0,0.08,0
3,0,0,0,0.12,0
4,0,0,0,0.16,0
5,0,0,0,0.2,0
6,0,0,0,0.24,0
7,0,0,0,0.28,0
8,0,0,0,0.32,0
9,0,0,0,0.36,0
10,0,0,0,0.4,0
11,0,0,0,0.44,0
12,0,0,0,0.48,0
13,0,0,0,0.52,0
14,0,0,0,0.56,0
15,0,0,0,0.6,0
16,0,0,0,0.64,0
17,0,0,0,0.68,0
18,0,0,0,0.72,0
19,0,0,0,0.76,0
20,0,0,0,0.8,0
21,1,1,1,0.8,1
22,0,0,0,0.84,1
23,0,0,0,0.88,1
24,0,0,0,0.92,1
25,0,0,0,0.96,1
26,0,0,0,1.0,1
27,0,0,0,1.04,1
28,0,0,0,1.08,1
29,0,0,0,1.12,1
30,0,0,0,1.16,1
31,0,0,0,1.2,1
32,0,0,0,1.24,1
33,0,0,0,1.28,1
34,0,0,0,1.32,1
35,0,0,0,1.36,1
36,0,0,0,1.4,1
37,0,0,0,1.44,1
38,0,0,0,1.48,1
39,0,0,0,1.52,1
40,0,0,0,1.56,1
41,0,0,0,1.6,1
42,0,0,0,1.64,1
43,4,4,4,1.52,5
44,0,0,0,1.56,5
45,0,0,0,1.6,5
46,0,0,0,1.64,5
47,0,0,0,1.68,5
48,0,0,0,1.72,5
49,0,0,0,1.76,5
50,0,0,0,1.8,5
51,6,6,5,1.64,11
52,0,0,0,1.68,11
53,1,1,0,1.72,12
54,1,1,1,1.72,13
55,2,2,2,1.68,15
56,0,0,0,1.72,15
57,0,0,0,1.76,15
58,3,3,2,1.72,18
59,0,0,0,1.76,18
60,0,0,0,1.8,18
61,0,0,0,1.84,18
62,0,0,0,1.88,18
63,0,0,0,1.92,18
64,2,2,1,1.92,20
65,1,1,2,1.88,21
66,10,10,3,1.8,31
67,1,1,1,1.8,32
68,0,0,0,1.84,32
69,0,0,0,1.88,32
70,1,1,0,1.92,33
71,4,4,4,1.8,37
72,0,0,0,1.84,37
73,1,1,2,1.8,38
74,6,6,2,1.76,44
75,0,0,0,1.8,44
76,1,1,1,1.8,45
77,0,0,0,1.84,45
78,7,7,3,1.76,52
79,0,0,0,1.8,52
80,0,0,0,1.84,52
81,3,3,1,1.84,55
82,2,2,0,1.88,57
83,9,9,4,1.76,66
84,0,0,0,1.8,66
85,1,1,2,1.76,67
86,0,0,0,1.8,67
87,0,0,0,1.84,67
88,0,0,0,1.88,67
89,1,1,0,1.92,68
90,0,0,0,1.96,68
91,2,2,3,1.88,70
92,0,0,0,1.92,70
93,0,0,0,1.96,70
94,8,8,5,1.8,78
95,0,0,0,1.84,78
96,0,0,0,1.88,78
97,0,0,0,1.92,78
98,13,12,5,1.76,91
99,0,0,0,1.8,91
100,0,0,0,1.84,91
0,0,0,0,0.0,0
