t,total_topples_at_t,unique_topples_at_t,edge_loss,average_height,cum_topples
1,0,0,0,0.000625,0
2,0,0,0,0.00125,0
3,0,0,0,0.001875,0
4,1,1,0,0.0025,1
5,1,0,0,0.003125,1
6,1,0,0,0.00375,1
7,1,0,0,0.004375,1
8,2,1,0,0.005,2
9,2,0,0,0.005625,2
10,2,0,0,0.00625,2
11,2,0,0,0.006875,2
12,3,1,0,0.0075,3
13,3,0,0,0.008125,3
14,3,0,0,0.00875,3
15,3,0,0,0.009375,3
16,9,5,0,0.01,9
17,9,0,0,0.010625,9
18,9,0,0,0.01125,9
19,9,0,0,0.011875,9
20,10,1,0,0.0125,10
21,10,0,0,0.013125,10
22,10,0,0,0.01375,10
23,10,0,0,0.014375,10
24,11,1,0,0.015,11
25,11,0,0,0.015625,11
26,11,0,0,0.01625,11
27,11,0,0,0.016875,11
28,21,9,0,0.0175,21
29,21,0,0,0.018125,21
30,21,0,0,0.01875,21
31,21,0,0,0.019375,21
32,27,5,0,0.02,27
33,27,0,0,0.020625,27
34,27,0,0,0.02125,27
35,27,0,0,0.021875,27
36,28,1,0,0.0225,28
37,28,0,0,0.023125,28
38,28,0,0,0.02375,28
39,28,0,0,0.024375,28
40,29,1,0,0.025,29
41,29,0,0,0.025625,29
42,29,0,0,0.02625,29
43,29,0,0,0.026875,29
44,48,13,0,0.0275,48
45,48,0,0,0.028125,48
46,48,0,0,0.02875,48
47,48,0,0,0.029375,48
48,49,1,0,0.03,49
49,49,0,0,0.030625,49
50,49,0,0,0.03125,49
51,49,0,0,0.031875,49
52,50,1,0,0.0325,50
53,50,0,0,0.033125,50
54,50,0,0,0.03375,50
55,50,0,0,0.034375,50
56,81,21,0,0.035,81
57,81,0,0,0.035625,81
58,81,0,0,0.03625,81
59,81,0,0,0.036875,81
60,87,5,0,0.0375,87
61,87,0,0,0.038125,87
62,87,0,0,0.03875,87
63,87,0,0,0.039375,87
64,88,1,0,0.04,88
65,88,0,0,0.040625,88
66,88,0,0,0.04125,88
67,88,0,0,0.041875,88
68,89,1,0,0.0425,89
69,89,0,0,0.043125,89
70,89,0,0,0.04375,89
71,89,0,0,0.044375,89
72,99,9,0,0.045,99
73,99,0,0,0.045625,99
74,99,0,0,0.04625,99
75,99,0,0,0.046875,99
76,130,25,0,0.0475,130
77,130,0,0,0.048125,130
78,130,0,0,0.04875,130
79,130,0,0,0.049375,130
80,131,1,0,0.05,131
81,131,0,0,0.050625,131
82,131,0,0,0.05125,131
83,131,0,0,0.051875,131
84,132,1,0,0.0525,132
85,132,0,0,0.053125,132
86,132,0,0,0.05375,132
87,132,0,0,0.054375,132
88,184,33,0,0.055,184
89,184,0,0,0.055625,184
90,184,0,0,0.05625,184
91,184,0,0,0.056875,184
92,185,1,0,0.0575,185
93,185,0,0,0.058125,185
94,185,0,0,0.05875,185
95,185,0,0,0.059375,185
96,186,1,0,0.06,186
